Filename,FileVersion,FileSize,Date,Time,Platform
Ajaxcontroltoolkit.dll,15.0.1497.12,"96,672",2021-02-13,16:42:00,x86
Cafe_owaauth_dll,15.0.1497.12,"91,584",2021-02-13,16:42:00,x64
Cts_microsoft.exchange.data.common.dll,15.0.1497.12,"1,653,240",2021-02-13,16:43:00,x86
Dup_cts_microsoft.exchange.data.common.dll,15.0.1497.12,"1,653,240",2021-02-13,16:43:00,x86
Dup_ext_microsoft.exchange.data.transport.dll,15.0.1497.12,"396,784",2021-02-13,16:44:00,x86
Edgetransport.exe,15.0.1497.12,"40,936",2021-02-13,16:43:00,x86
Exrpc32.dll,15.0.1497.12,"1,683,392",2021-02-13,16:43:00,x64
Exsetdata.dll,15.0.1497.12,"1,749,928",2021-02-13,16:42:00,x64
Exsetup.exe,15.0.1497.12,"35,336",2021-02-13,16:43:00,x86
Exsetupui.exe,15.0.1497.12,"199,176",2021-02-13,16:43:00,x86
Ext_microsoft.exchange.data.transport.dll,15.0.1497.12,"396,784",2021-02-13,16:44:00,x86
Microsoft.dkm.proxy.dll,15.0.1497.12,"32,688",2021-02-13,16:44:00,x86
Microsoft.exchange.addressbook.service.dll,15.0.1497.12,"218,608",2021-02-13,16:43:00,x86
Microsoft.exchange.airsynchandler.dll,15.0.1497.12,"59,392",2021-02-13,16:44:00,x86
Microsoft.exchange.anchorservice.dll,15.0.1497.12,"137,696",2021-02-13,16:43:00,x86
Microsoft.exchange.antispamupdatesvc.exe,15.0.1497.12,"27,624",2021-02-13,16:43:00,x86
Microsoft.exchange.approval.applications.dll,15.0.1497.12,"53,192",2021-02-13,16:42:00,x86
Microsoft.exchange.assistants.dll,15.0.1497.12,"339,392",2021-02-13,16:43:00,x86
Microsoft.exchange.auditlogsearchservicelet.dll,15.0.1497.12,"70,648",2021-02-13,16:44:00,x86
Microsoft.exchange.authadminservicelet.dll,15.0.1497.12,"36,320",2021-02-13,16:44:00,x86
Microsoft.exchange.authservicehostservicelet.dll,15.0.1497.12,"15,832",2021-02-13,16:44:00,x86
Microsoft.exchange.autodiscover.dll,15.0.1497.12,"360,416",2021-02-13,16:43:00,x86
Microsoft.exchange.autodiscoverv2.dll,15.0.1497.12,"31,680",2021-02-13,16:43:00,x86
Microsoft.exchange.batchservice.dll,15.0.1497.12,"33,208",2021-02-13,16:42:00,x86
Microsoft.exchange.certificatedeploymentservicelet.dll,15.0.1497.12,"26,616",2021-02-13,16:44:00,x86
Microsoft.exchange.certificatenotificationservicelet.dll,15.0.1497.12,"23,544",2021-02-13,16:44:00,x86
Microsoft.exchange.clients.common.dll,15.0.1497.12,"158,136",2021-02-13,16:43:00,x86
Microsoft.exchange.clients.owa.dll,15.0.1497.12,"3,030,480",2021-02-13,16:43:00,x86
Microsoft.exchange.clients.owa2.server.dll,15.0.1497.12,"2,269,648",2021-02-13,16:43:00,x86
Microsoft.exchange.clients.security.dll,15.0.1497.12,"156,080",2021-02-13,16:42:00,x86
Microsoft.exchange.cluster.common.extensions.dll,15.0.1497.12,"22,456",2021-02-13,16:42:00,x86
Microsoft.exchange.cluster.replay.dll,15.0.1497.12,"2,698,704",2021-02-13,16:43:00,x86
Microsoft.exchange.cluster.replicaseeder.dll,15.0.1497.12,"107,984",2021-02-13,16:43:00,x64
Microsoft.exchange.cluster.replicavsswriter.dll,15.0.1497.12,"287,696",2021-02-13,16:43:00,x64
Microsoft.exchange.cluster.shared.dll,15.0.1497.12,"462,800",2021-02-13,16:43:00,x86
Microsoft.exchange.common.diskmanagement.dll,15.0.1497.12,"55,760",2021-02-13,16:44:00,x86
Microsoft.exchange.common.dll,15.0.1497.12,"157,616",2021-02-13,16:43:00,x86
Microsoft.exchange.common.inference.dll,15.0.1497.12,"39,344",2021-02-13,16:43:00,x86
Microsoft.exchange.compliance.dll,15.0.1497.12,"85,432",2021-02-13,16:44:00,x86
Microsoft.exchange.compliance.taskdistributioncommon.dll,15.0.1497.12,"173,040",2021-02-13,16:43:00,x86
Microsoft.exchange.compliance.taskdistributionfabric.dll,15.0.1497.12,"74,736",2021-02-13,16:43:00,x86
Microsoft.exchange.compliance.taskplugins.dll,15.0.1497.12,"25,584",2021-02-13,16:43:00,x86
Microsoft.exchange.compression.dll,15.0.1497.12,"17,872",2021-02-13,16:44:00,x86
Microsoft.exchange.configuration.certificateauth.dll,15.0.1497.12,"37,864",2021-02-13,16:43:00,x86
Microsoft.exchange.configuration.core.dll,15.0.1497.12,"111,080",2021-02-13,16:44:00,x86
Microsoft.exchange.configuration.delegatedauth.dll,15.0.1497.12,"53,736",2021-02-13,16:43:00,x86
Microsoft.exchange.configuration.diagnosticsmodules.dll,15.0.1497.12,"24,040",2021-02-13,16:43:00,x86
Microsoft.exchange.configuration.failfast.dll,15.0.1497.12,"55,272",2021-02-13,16:43:00,x86
Microsoft.exchange.configuration.objectmodel.dll,15.0.1497.12,"1,455,592",2021-02-13,16:43:00,x86
Microsoft.exchange.configuration.redirectionmodule.dll,15.0.1497.12,"71,656",2021-02-13,16:43:00,x86
Microsoft.exchange.configuration.remotepowershellbackendcmdletproxymodule.dll,15.0.1497.12,"21,480",2021-02-13,16:43:00,x86
Microsoft.exchange.connections.common.dll,15.0.1497.12,"77,264",2021-02-13,16:44:00,x86
Microsoft.exchange.connections.eas.dll,15.0.1497.12,"235,984",2021-02-13,16:44:00,x86
Microsoft.exchange.connections.imap.dll,15.0.1497.12,"115,128",2021-02-13,16:44:00,x86
Microsoft.exchange.connections.pop.dll,15.0.1497.12,"74,704",2021-02-13,16:43:00,x86
Microsoft.exchange.core.strings.dll,15.0.1497.12,"599,480",2021-02-13,16:44:00,x86
Microsoft.exchange.data.applicationlogic.dll,15.0.1497.12,"1,271,288",2021-02-13,16:43:00,x86
Microsoft.exchange.data.directory.dll,15.0.1497.12,"6,639,120",2021-02-13,16:43:00,x86
Microsoft.exchange.data.dll,15.0.1497.12,"1,378,832",2021-02-13,16:43:00,x86
Microsoft.exchange.data.groupmailboxaccesslayer.dll,15.0.1497.12,"314,352",2021-02-13,16:44:00,x86
Microsoft.exchange.data.ha.dll,15.0.1497.12,"82,440",2021-02-13,16:43:00,x86
Microsoft.exchange.data.imageanalysis.dll,15.0.1497.12,"108,048",2021-02-13,16:43:00,x86
Microsoft.exchange.data.mapi.dll,15.0.1497.12,"175,096",2021-02-13,16:43:00,x86
Microsoft.exchange.data.metering.contracts.dll,15.0.1497.12,"31,216",2021-02-13,16:43:00,x86
Microsoft.exchange.data.metering.dll,15.0.1497.12,"99,344",2021-02-13,16:43:00,x86
Microsoft.exchange.data.providers.dll,15.0.1497.12,"141,328",2021-02-13,16:43:00,x86
Microsoft.exchange.data.storage.clientstrings.dll,15.0.1497.12,"143,888",2021-02-13,16:43:00,x86
Microsoft.exchange.data.storage.dll,15.0.1497.12,"8,145,936",2021-02-13,16:43:00,x86
Microsoft.exchange.data.throttlingservice.client.dll,15.0.1497.12,"36,344",2021-02-13,16:43:00,x86
Microsoft.exchange.datacenterstrings.dll,15.0.1497.12,"75,256",2021-02-13,16:44:00,x86
Microsoft.exchange.diagnostics.certificatelogger.dll,15.0.1497.12,"22,992",2021-02-13,16:43:00,x86
Microsoft.exchange.diagnostics.dll,15.0.1497.12,"1,934,768",2021-02-13,16:44:00,x86
Microsoft.exchange.diagnostics.performancelogger.dll,15.0.1497.12,"24,016",2021-02-13,16:43:00,x86
Microsoft.exchange.diagnostics.service.common.dll,15.0.1497.12,"322,000",2021-02-13,16:44:00,x86
Microsoft.exchange.diagnostics.service.exchangejobs.dll,15.0.1497.12,"134,608",2021-02-13,16:43:00,x86
Microsoft.exchange.diagnostics.service.exe,15.0.1497.12,"127,440",2021-02-13,16:43:00,x86
Microsoft.exchange.diagnosticsaggregationservicelet.dll,15.0.1497.12,"50,680",2021-02-13,16:44:00,x86
Microsoft.exchange.directory.topologyservice.exe,15.0.1497.12,"192,984",2021-02-13,16:43:00,x86
Microsoft.exchange.dxstore.dll,15.0.1497.12,"279,480",2021-02-13,16:44:00,x86
Microsoft.exchange.dxstore.ha.instance.exe,15.0.1497.12,"20,920",2021-02-13,16:43:00,x86
Microsoft.exchange.edgecredentialsvc.exe,15.0.1497.12,"21,984",2021-02-13,16:43:00,x86
Microsoft.exchange.edgesync.common.dll,15.0.1497.12,"153,560",2021-02-13,16:42:00,x86
Microsoft.exchange.edgesync.datacenterproviders.dll,15.0.1497.12,"225,232",2021-02-13,16:42:00,x86
Microsoft.exchange.edgesyncsvc.exe,15.0.1497.12,"98,264",2021-02-13,16:42:00,x86
Microsoft.exchange.ediscovery.export.dll,15.0.1497.12,"1,126,384",2021-02-13,16:43:00,x86
Microsoft.exchange.ediscovery.mailboxsearch.dll,15.0.1497.12,"295,920",2021-02-13,16:43:00,x86
Microsoft.exchange.entities.birthdaycalendar.dll,15.0.1497.12,"56,304",2021-02-13,16:43:00,x86
Microsoft.exchange.entities.calendaring.dll,15.0.1497.12,"209,392",2021-02-13,16:43:00,x86
Microsoft.exchange.entities.common.dll,15.0.1497.12,"155,120",2021-02-13,16:43:00,x86
Microsoft.exchange.entities.datamodel.dll,15.0.1497.12,"137,200",2021-02-13,16:43:00,x86
Microsoft.exchange.entities.holidaycalendars.dll,15.0.1497.12,"35,312",2021-02-13,16:43:00,x86
Microsoft.exchange.entities.people.dll,15.0.1497.12,"37,360",2021-02-13,16:43:00,x86
Microsoft.exchange.eserepl.configuration.dll,15.0.1497.12,"16,312",2021-02-13,16:43:00,x86
Microsoft.exchange.eserepl.dll,15.0.1497.12,"118,736",2021-02-13,16:43:00,x86
Microsoft.exchange.exchangecertificateservicelet.dll,15.0.1497.12,"37,344",2021-02-13,16:44:00,x86
Microsoft.exchange.extensibility.internal.dll,15.0.1497.12,"560,112",2021-02-13,16:45:00,x86
Microsoft.exchange.extensibility.partner.dll,15.0.1497.12,"15,856",2021-02-13,16:44:00,x86
Microsoft.exchange.federateddirectory.dll,15.0.1497.12,"76,784",2021-02-13,16:44:00,x86
Microsoft.exchange.frontendhttpproxy.dll,15.0.1497.12,"570,296",2021-02-13,16:42:00,x86
Microsoft.exchange.hathirdpartyreplication.dll,15.0.1497.12,"42,960",2021-02-13,16:43:00,x86
Microsoft.exchange.helpprovider.dll,15.0.1497.12,"39,400",2021-02-13,16:44:00,x86
Microsoft.exchange.httpproxy.addressfinder.dll,15.0.1497.12,"31,152",2021-02-13,16:42:00,x86
Microsoft.exchange.httpproxy.common.dll,15.0.1497.12,"95,672",2021-02-13,16:43:00,x86
Microsoft.exchange.httpproxy.diagnostics.dll,15.0.1497.12,"35,256",2021-02-13,16:42:00,x86
Microsoft.exchange.httpproxy.proxyassistant.dll,15.0.1497.12,"17,840",2021-02-13,16:42:00,x86
Microsoft.exchange.httpproxy.routerefresher.dll,15.0.1497.12,"21,424",2021-02-13,16:42:00,x86
Microsoft.exchange.httpproxy.routeselector.dll,15.0.1497.12,"35,256",2021-02-13,16:42:00,x86
Microsoft.exchange.httpproxy.routing.dll,15.0.1497.12,"63,920",2021-02-13,16:43:00,x86
Microsoft.exchange.httpredirectmodules.dll,15.0.1497.12,"27,056",2021-02-13,16:42:00,x86
Microsoft.exchange.httputilities.dll,15.0.1497.12,"20,912",2021-02-13,16:42:00,x86
Microsoft.exchange.hygiene.data.dll,15.0.1497.12,"1,033,712",2021-02-13,16:43:00,x86
Microsoft.exchange.imap4.exe,15.0.1497.12,"230,352",2021-02-13,16:43:00,x86
Microsoft.exchange.imap4service.exe,15.0.1497.12,"25,032",2021-02-13,16:43:00,x86
Microsoft.exchange.inference.common.dll,15.0.1497.12,"71,688",2021-02-13,16:43:00,x86
Microsoft.exchange.inference.mdbcommon.dll,15.0.1497.12,"75,784",2021-02-13,16:44:00,x86
Microsoft.exchange.inference.peoplerelevance.dll,15.0.1497.12,"93,696",2021-02-13,16:44:00,x86
Microsoft.exchange.inference.pipeline.dll,15.0.1497.12,"21,512",2021-02-13,16:44:00,x86
Microsoft.exchange.inference.ranking.dll,15.0.1497.12,"19,456",2021-02-13,16:44:00,x86
Microsoft.exchange.infoworker.assistantsclientresources.dll,15.0.1497.12,"35,312",2021-02-13,16:44:00,x86
Microsoft.exchange.infoworker.common.dll,15.0.1497.12,"1,662,472",2021-02-13,16:44:00,x86
Microsoft.exchange.infoworker.meetingvalidator.dll,15.0.1497.12,"164,360",2021-02-13,16:44:00,x86
Microsoft.exchange.jobqueueservicelet.dll,15.0.1497.12,"84,984",2021-02-13,16:44:00,x86
Microsoft.exchange.live.domainservices.dll,15.0.1497.12,"122,360",2021-02-13,16:43:00,x86
Microsoft.exchange.loganalyzer.analyzers.oabdownloadlog.dll,15.0.1497.12,"20,432",2021-02-13,16:43:00,x86
Microsoft.exchange.loganalyzer.extensions.oabdownloadlog.dll,15.0.1497.12,"18,888",2021-02-13,16:43:00,x86
Microsoft.exchange.loguploader.dll,15.0.1497.12,"159,672",2021-02-13,16:44:00,x86
Microsoft.exchange.loguploaderproxy.dll,15.0.1497.12,"61,392",2021-02-13,16:44:00,x86
Microsoft.exchange.mailboxloadbalance.dll,15.0.1497.12,"346,040",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxloadbalance.serverstrings.dll,15.0.1497.12,"43,472",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxloadbalanceclient.dll,15.0.1497.12,"24,504",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxreplicationservice.common.dll,15.0.1497.12,"1,523,640",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.dll,15.0.1497.12,"639,416",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxreplicationservice.easprovider.dll,15.0.1497.12,"106,424",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.imapprovider.dll,15.0.1497.12,"61,872",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxreplicationservice.mapiprovider.dll,15.0.1497.12,"91,568",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.popprovider.dll,15.0.1497.12,"42,424",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.proxyclient.dll,15.0.1497.12,"121,784",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.proxyservice.dll,15.0.1497.12,"148,408",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.pstprovider.dll,15.0.1497.12,"82,352",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.remoteprovider.dll,15.0.1497.12,"72,632",2021-02-13,16:42:00,x86
Microsoft.exchange.mailboxreplicationservice.storageprovider.dll,15.0.1497.12,"120,248",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxreplicationservice.upgrade14to15.dll,15.0.1497.12,"276,408",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxtransport.storedrivercommon.dll,15.0.1497.12,"140,272",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxtransport.storedriverdelivery.dll,15.0.1497.12,"517,624",2021-02-13,16:43:00,x86
Microsoft.exchange.mailboxtransport.submission.storedriversubmission.dll,15.0.1497.12,"191,992",2021-02-13,16:43:00,x86
Microsoft.exchange.management.compliancepolicy.dll,15.0.1497.12,"38,904",2021-02-13,16:44:00,x86
Microsoft.exchange.management.controlpanel.dll,15.0.1497.12,"6,405,560",2021-02-13,16:43:00,x86
Microsoft.exchange.management.controlpanel.owaoptionstrings.dll,15.0.1497.12,"286,112",2021-02-13,16:43:00,x86
Microsoft.exchange.management.deployment.analysis.dll,15.0.1497.12,"96,760",2021-02-13,16:44:00,x86
Microsoft.exchange.management.deployment.dll,15.0.1497.12,"614,904",2021-02-13,16:44:00,x86
Microsoft.exchange.management.detailstemplates.dll,15.0.1497.12,"70,048",2021-02-13,16:42:00,x86
Microsoft.exchange.management.dll,15.0.1497.12,"19,301,856",2021-02-13,16:45:00,x64
Microsoft.exchange.management.edge.systemmanager.dll,15.0.1497.12,"60,832",2021-02-13,16:42:00,x86
Microsoft.exchange.management.mobility.dll,15.0.1497.12,"306,656",2021-02-13,16:44:00,x86
Microsoft.exchange.management.powershell.support.dll,15.0.1497.12,"229,336",2021-02-13,16:44:00,x86
Microsoft.exchange.management.psdirectinvoke.dll,15.0.1497.12,"47,096",2021-02-13,16:44:00,x86
Microsoft.exchange.management.rbacdefinition.dll,15.0.1497.12,"6,657,504",2021-02-13,16:45:00,x86
Microsoft.exchange.management.recipient.dll,15.0.1497.12,"854,520",2021-02-13,16:44:00,x86
Microsoft.exchange.management.reportingwebservice.dll,15.0.1497.12,"146,336",2021-02-13,16:42:00,x86
Microsoft.exchange.management.snapin.esm.dll,15.0.1497.12,"73,120",2021-02-13,16:43:00,x86
Microsoft.exchange.management.systemmanager.dll,15.0.1497.12,"1,273,760",2021-02-13,16:43:00,x86
Microsoft.exchange.management.transport.dll,15.0.1497.12,"764,408",2021-02-13,16:44:00,x86
Microsoft.exchange.managementgui.dll,15.0.1497.12,"5,352,376",2021-02-13,16:43:00,x86
Microsoft.exchange.mapihttpclient.dll,15.0.1497.12,"115,120",2021-02-13,16:44:00,x86
Microsoft.exchange.mapihttphandler.dll,15.0.1497.12,"192,480",2021-02-13,16:42:00,x86
